Team	Position	Height	Weight	month of Birth	Day of Birth	Year of Birth	Age	Place of Birth
ducks	L	6ft 0in	204	Jun	7	1988	26	Windsor, ON, Canada 
ducks	C	5ft 10in	184	Jun	14	1987	27	Toronto, ON, Canada 
ducks	L	6ft 1in	212	Jun	16	1992	22	Long Beach, CA, USA 
ducks	C	6ft 4in	218	May	10	1985	29	Regina, SK, Canada 
ducks	L	6ft 3in	212	Jan	21	1981	33	Freiburg, Germany 
ducks	R	6ft 2in	224	Nov	14	1981	32	Minot, ND, USA 
ducks	C	6ft 0in	185	Jan	8	1993	21	Marsta, Sweden 
ducks	C	6ft 2in	208	Aug	31	1984	30	Livonia, MI, USA 
ducks	L	6ft 2in	231	Apr	23	1988	26	St. Louis, MO, USA 
ducks	R	5ft 11in	196	Feb	1	1991	23	Smithtown, NY, USA 
ducks	R	6ft 3in	213	May	16	1985	29	Peterborough, ON, Canada 
ducks	C	6ft 0in	201	May	5	1993	21	Sundbyberg, Sweden 
ducks	R	6ft 0in	199	Oct	13	1990	24	Gävle, Sweden 
ducks	R	6ft 0in	220	Jun	14	1992	22	Scarborough, ON, Canada 
ducks	C	6ft 0in	210	Oct	5	1984	30	Anchorage, AK, USA 
ducks	D	6ft 5in	223	Aug	21	1980	34	Kingston, ON, Canada 
ducks	D	6ft 1in	208	Jun	4	1980	34	Sorel, QC, Canada 
ducks	D	6ft 2in	225	Jun	1	1986	28	Edmonton, AB, Canada 
ducks	D	6ft 1in	211	Dec	5	1991	22	Windsor, ON, Canada 
ducks	D	6ft 3in	205	Jan	20	1994	20	Helsingborg, Sweden 
ducks	D	6ft 1in	206	Feb	20	1984	30	Concord, NH, USA 
ducks	D	6ft 3in	212	Feb	19	1985	29	Port McNeill, BC, Canada 
ducks	D	6ft 2in	182	Aug	3	1995	19	Langley, BC, Canada 
ducks	D	5ft 10in	180	Jun	3	1991	23	Jyväskylä, Finland 
ducks	D	6ft 3in	236	Oct	2	1989	25	Herning, Denmark 
ducks	D	6ft 3in	216	Jul	14	1993	21 	Pittsburgh, PA, USA 
coyotes	L	6ft 0in	211	Dec	16	1989	24	Brondby, Denmark
coyotes	C	6ft 2in	203	Feb	19	1986	28	Westlock, AB, Canada
coyotes	R	6ft 2in	209	Jul	10	1985	29	Denver, CO, USA
coyotes	R	6ft 1in	223	Oct	10	1976	38	Halkirk, AB, Canada
coyotes	R	6ft 0in	196	Aug	29	1981	33	Trebic, Czech Republic
coyotes	C	5ft 11in	202	Aug	10	1989	25	London, ON, Canada
coyotes	C	6ft 6in	226	Feb	20	1987	27	Pisek, Czech Republic
coyotes	C	6ft 1in	203	Jun	27	1988	26	Brampton, ON, Canada
coyotes	L	6ft 3in	214	Aug	12	1986	28	Lethbridge, AB, Canada
coyotes	L	6ft 1in	205	Jul	28	1986	28	Turku, Finland
coyotes	L	5ft 11in	190	Mar	22	1990	24	Richmond, BC, Canada
coyotes	R	6ft 4in	210	Dec	28	1981	32	Livonia, MI, USA
coyotes	C	6ft 1in	198	Jul	20	1982	32	St. Agapit, QC, Canada
coyotes	C	5ft 11in	205	Aug	20	1985	29	St. Louis, MO, USA
coyotes	G	6ft 2in	200	Jul	17	1991	23	Karlskrona, Sweden
coyotes	X	6ft 2in	210	Dec	23	1982	31	Jindrichuv Hradec, Czech Republic
coyotes	X	6ft 4in	212	Mar	26	1993	21	Dublin, OH, USA
coyotes	X	6ft 1in	190	May	7	1987	27	Edmonton, AB, Canada
coyotes	X	6ft 3in	210	Jun	7	1990	24	Winnipeg, MB, Canada
coyotes	X	6ft 2in	209	Feb	5	1988	26	Ann Arbor, MI, USA
coyotes	X	6ft 1in	190	Sep	9	1986	28	Boston, MA, USA
coyotes	X	6ft 6in	210	May	4	1986	28	Regina, SK, Canada
coyotes	X	6ft 4in	215	Mar	22	1982	32	Kingston, ON, Canada
flames	C	6ft 0in	198	Mar	17	1989	25	Vasteras, Sweden
flames	C	6ft 1in	178	Jun	20	1996	18	Holland Landing, ON, Canada
flames	L	6ft 2in	223	Jan	31	1987	27	St. Charles, MO, USA
flames	C	6ft 1in	210	Mar	25	1990	24	Provost, AB, Canada
flames	C	5ft 7in	153	Apr	27	1989	25	Ottawa, ON, Canada
flames	C	6ft 5in	213	Jan	30	1990	24	Calgary, AB, Canada
flames	L	5ft 9in	150	Aug	13	1993	21	Salem, NJ, USA
flames	L	6ft 1in	197	Dec	28	1982	31	Kindersley, SK, Canada
flames	C	5ft 10in	186	Jan	4	1984	30	Olomouc, Czech Republic
flames	R	6ft 2in	210	Aug	10	1984	30	Guelph, ON, Canada
flames	C	6ft 0in	180	Jul	14	1990	24	Burlington, ON, Canada
flames	R	6ft 4in	235	Sep	2	1981	33	Hamilton, ON, Canada
flames	C	6ft 2in	185	Oct	12	1994	20	Brampton, ON, Canada
flames	L	6ft 0in	185	Sep	17	1985	29	Cochrane, AB, Canada
flames	R	6ft 0in	205	Jan	1	1987	27	Taber, AB, Canada
flames	C	6ft 1in	192	Dec	19	1983	30	Mississauga, ON, Canada
flames	X	6ft 1in	182	Jun	7	1990	24	Chatham, ON, Canada	
flames	X	5ft 11in	197	Jan	9	1986	28	Baar, CHE
flames	X	6ft 2in	215	Apr	3	1982	32	Edmonton, AB, Canada
flames	X	6ft 0in	200	Oct	3	1983	31	Toronto, ON, Canada
flames	X	6ft 3in	204	Jan	5	1984	30	Lansing, MI, USA
flames	X	5ft 10in	173	May	2	1987	27	Caroline, AB, Canada
flames	X	6ft 3in	209	Feb	1	1986	28	Frydlant, Czech Republic
flames	X	6ft 0in	200	Mar	20	1983	31	Kitchener, ON, Canada
flames	X	6ft 2in	192	Feb	12	1982	32	Felben Wellhausen, CHE
flames	X	6ft 2in	206	Jul	1	1986	28	Asikkala, Finland
blackhawks	L	6ft 4in	223	Mar	9	1986	28	Bowmanville, ON, Canada
blackhawks	L	6ft 0in	200	Jan	28	1985	29	King City, ON, Canada
blackhawks	R	6ft 1in	207	Jan	12	1979	35	Stará Lubovna, SVK
blackhawks	R	5ft 11in	177	Nov	19	1988	25	Buffalo, NY, USA
blackhawks	C	6ft 0in	186	May	27	1990	24	Stockholm, Sweden
blackhawks	R	6ft 1in	189	Apr	16	1991	23	Auburn, NY, USA
blackhawks	C	6ft 0in	199	May	2	1980	34	Murray Hbr., PE, Canada
blackhawks	L	6ft 1in	204	Oct	27	1992	21	Pittsburgh, PA, USA
blackhawks	L	6ft 1in	198	Dec	27	1981	32	Winnipeg, MB, Canada
blackhawks	C	5ft 11in	179	Jul	20	1991	23	Belleville, ON, Canada
blackhawks	R	5ft 11in	199	Jul	11	1988	26	Winston-Salem, NC, USA
blackhawks	C	6ft 2in	201	Apr	29	1988	26	Winnipeg, MB, Canada
blackhawks	L	5ft 11in	176	May	13	1986	28	Lethbridge, AB, Canada
blackhawks	X	6ft 3in	197	Jun	6	1987	27	Eksjo, Sweden	
blackhawks	X	6ft 1in	192	Jul	16	1983	31	Winnipeg, MB, Canada
blackhawks	X	6ft 0in	188	Oct	1	1981	33	Stockholm, Sweden
blackhawks	X	6ft 1in	210	Sep	3	1978	36	Vlasim, Czech Republic
blackhawks	X	6ft 2in	187	Oct	8	1990	24	Lycksele, Sweden
blackhawks	X	6ft 3in	220	Apr	20	1985	29	Richmond, BC, Canada
blackhawks	X	6ft 2in	188	Jul	24	1991	23	Middletown, NJ, USA
blackhawks	X	6ft 2in	216	Dec	31	1984	29	Montreal, QC, Canada
blackhawks	X	6ft 6in	232	Dec	22	1988	25	Lemont, IL, USA
blackhawks	X	6ft 0in	193	May	12	1989	25	Rauma, Finland
avalanche	L	6ft 6in	225	Mar	23	1986	28	Montreal, QC, Canada
avalanche	C	5ft 9in	174	Oct	6	1977	37	Gatineau, QC, Canada
avalanche	C	6ft 0in	202	Mar	23	1987	27	Rouyn-Noranda, QC, Canada
avalanche	C	5ft 11in	200	Jan	16	1991	23	Haliburton, ON, Canada
avalanche	R	6ft 1in	210	Jul	1	1977	37	Edmonton, AB, Canada
avalanche	L	6ft 1in	210	Nov	23	1992	21	Stockholm, Sweden
avalanche	C	6ft 0in	195	Sep	1	1995	19	Halifax, NS, Canada
avalanche	L	6ft 1in	210	Aug	5	1988	26	Fergus, ON, Canada
avalanche	L	6ft 2in	210	Jun	26	1984	30	Binscarth, MB, Canada
avalanche	C	6ft 1in	204	Jan	22	1985	29	Oakville, ON, Canada
avalanche	C	6ft 0in	210	Feb	7	1991	23	Clinton, ON, Canada
avalanche	C	5ft 11in	190	Feb	11	1984	30	Lemoyne, QC, Canada
avalanche	L	6ft 1in	194	Nov	21	1979	34	Ste-Justine, QC, Canada
avalanche	C	6ft 1in	205	Oct	4	1983	31	Long Sault, ON, Canada
avalanche	X	5ft 10in	190	Jul	26	1991	23	Victoria, BC, Canada
avalanche	X	6ft 3in	207	Dec	10	1982	31	Aliquippa, PA, USA
avalanche	X	6ft 4in	230	Jun	18	1978	36	Prague, Czech Republic
avalanche	X	6ft 4in	210	May	15	1987	27	St. Albert, AB, Canada
avalanche	X	6ft 4in	232	Mar	21	1988	26	Bloomington, MN, USA
avalanche	X	6ft 2in	205	Jul	26	1988	26	Traverse City, MI, USA
avalanche	X	6ft 2in	215	Nov	6	1979	34	Rocky Mountain House, AB, Canada
avalanche	X	6ft 1in	210	Feb	3	1987	27	Windsor, ON, Canada
avalanche	X	6ft 4in	210	Jan	3	1987	27	Bulach, CHE
avalanche	X	6ft 2in	209	Apr	27	1988	26	Samara, Russia
stars	L	6ft 2in	210	Jul	18	1989	25	Victoria, BC, Canada
stars	L	6ft 2in	205	Nov	6	1978	35	OSwedengo, NY, USA
stars	C	6ft 0in	190	May	24	1991	23	Winnipeg, MB, Canada
stars	R	6ft 0in	200	May	1	1984	30	Calgary, AB, Canada
stars	C	5ft 11in	205	May	9	1980	34	Edmonton, AB, Canada
stars	L	6ft 0in	195	Aug	12	1985	29	Winnipeg, MB, Canada
stars	R	6ft 0in	185	Aug	13	1983	31	Pardubice, Czech Republic
stars	C	6ft 1in	205	Sep	17	1978	36	Trail, BC, Canada
stars	L	6ft 2in	210	Feb	22	1991	23	Golden, BC, Canada
stars	R	6ft 4in	210	Mar	4	1995	19	Chelyabinsk, Russia
stars	C	5ft 11in	195	Jul	8	1982	32	Kingston, ON, Canada
stars	L	6ft 0in	200	Nov	21	1989	24	Roubaix, FRA
stars	C	6ft 0in	200	Apr	20	1989	25	Red Deer, AB, Canada
stars	C	6ft 1in	200	Jan	31	1992	22	Brampton, ON, Canada
stars	C	6ft 3in	220	Jun	13	1983	31	Toronto, ON, Canada
stars	X	6ft 2in	200	Jul	26	1987	27	Victoria, BC, Canada
stars	X	6ft 2in	200	Feb	23	1990	24	Edmonton, AB, Canada
stars	X	5ft 11in	195	Oct	9	1983	31	Toronto, ON, Canada
stars	X	6ft 4in	225	Nov	13	1990	23	New Westminster, BC, Canada
stars	X	5ft 11in	190	Jul	30	1985	29	Grand Rapids, MN, USA
stars	X	6ft 2in	210	Apr	13	1974	40	Chelyabinsk, Russia
stars	X	6ft 3in	205	Aug	20	1991	23	Tampere, Finland
stars	X	6ft 3in	230	Feb	8	1992	22	Stockholm, Sweden
stars	X	6ft 7in	250	Dec	21	1992	21	Toronto, ON, Canada
stars	X	6ft 4in	210	Nov	16	1983	30	Helsinki, Finland
stars	X	6ft 6in	215	May	3	1988	26	Gävle, Sweden
oilers	C	6ft 3in	202	Jul	16	1987	27	Edina, MN, USA
oilers	C	5ft 8in	172	Aug	12	1988	26	Milford, CT, USA
oilers	C	6ft 1in	210	Oct	27	1995	18	Cologne, DEU
oilers	R	5ft 11in	183	May	15	1990	24	Regina, SK, Canada
oilers	L	6ft 4in	233	Jul	25	1989	25	Toronto, ON, Canada
oilers	C	6ft 0in	200	Oct	19	1983	31	Unity, SK, Canada
oilers	L	6ft 1in	198	Nov	14	1991	22	Calgary, AB, Canada
oilers	L	6ft 0in	211	Jun	17	1981	33	Blaine, MN, USA
oilers	L	6ft 4in	213	Oct	5	1987	27	Pori, Finland
